unix_epoch_in_miliseconds,timezone_at_sync,bbi
1636616409212,-8,788
1636616410000,-8,1023
1636616411023,-8,810
1636616411833,-8,777
1636616412610,-8,776
1636616413388,-8,784
1636616414172,-8,783
1636616414955,-8,785
1636616415740,-8,769
1636616416509,-8,780
1636616417293,-8,875
1636616418168,-8,875
1636616419043,-8,741
1636616419784,-8,757
1636616420541,-8,647
1636616421191,-8,709
1636616421900,-8,759
1636616422659,-8,750
1636616423409,-8,750
1636616424159,-8,756
1636616424917,-8,747
1636616425664,-8,740
1636616426404,-8,742
1636616427146,-8,759
1636616427905,-8,750
1636616428661,-8,771
1636616429432,-8,812
1636616430244,-8,929
1636616431173,-8,695
1636616431868,-8,682
1636616433300,-8,752
1636616434052,-8,749
1636616434801,-8,743
1636616435544,-8,773
1636616436319,-8,809
1636616437128,-8,790
1636616437918,-8,770
1636616438688,-8,768
1636616439456,-8,708
1636616440171,-8,601
1636616440772,-8,666
1636616441438,-8,683
1636616442121,-8,760
1636616442881,-8,780
1636616443662,-8,770
1636616444432,-8,786
1636616445218,-8,791
1636616446009,-8,783
1636616446792,-8,780
1636616448332,-8,770
1636616449102,-8,762
1636616449864,-8,742
1636616450606,-8,745
1636616451354,-8,770
1636616452124,-8,784
1636616452908,-8,801
1636616453709,-8,834
1636616454543,-8,883
1636616455431,-8,797
1636616456228,-8,771
1636616456999,-8,766
1636616457765,-8,766
1636616458531,-8,749
1636616460277,-8,699
1636616460976,-8,703
1636616461679,-8,696
1636616462375,-8,703
1636616463078,-8,743
1636616464262,-8,638
1636616466212,-8,692
1636616466904,-8,676
1636616467580,-8,727
1636616468307,-8,774
1636616469081,-8,813
1636616469898,-8,782
1636616470680,-8,789
1636616471469,-8,785
1636616472254,-8,788
1636616473042,-8,790
1636616473833,-8,791
1636616474624,-8,789
1636616475413,-8,788
1636616476201,-8,780
1636616476981,-8,790
1636616477775,-8,797
1636616478572,-8,841
1636616479413,-8,868
1636616480281,-8,798
1636616481079,-8,779
1636616482624,-8,775
1636616483399,-8,767
1636616484166,-8,736
1636616484902,-8,740
1636616485650,-8,738
1636616486388,-8,748
1636616487136,-8,756
1636616487892,-8,755
1636616488647,-8,715
1636616490104,-8,733
1636616490837,-8,715
1636616491552,-8,721
1636616492273,-8,712
1636616492989,-8,731
1636616493720,-8,710
1636616494430,-8,703
1636616495133,-8,651
1636616495784,-8,568
1636616496353,-8,603
1636616496956,-8,655
1636616497611,-8,685
1636616498296,-8,712
1636616499008,-8,706
1636616499718,-8,726
1636616500444,-8,705
1636616501149,-8,688
1636616501837,-8,732
1636616502569,-8,704
1636616504272,-8,696
1636616504968,-8,693
1636616505661,-8,650
1636616506311,-8,651
1636616506962,-8,653
1636616507954,-8,678
1636616508632,-8,684
1636616509316,-8,714
1636616510032,-8,744
1636616510776,-8,778
1636616511554,-8,787
1636616512341,-8,772
1636616513113,-8,762
1636616514628,-8,748
1636616515376,-8,738
1636616516114,-8,713
1636616516827,-8,675
1636616517506,-8,738
1636616518244,-8,786
1636616519030,-8,804
1636616519834,-8,796
1636616520630,-8,792
1636616521426,-8,798
1636616522224,-8,745
1636616522969,-8,750
1636616523719,-8,765
1636616524484,-8,791
1636616525278,-8,810
1636616526088,-8,847
1636616526935,-8,890
1636616527825,-8,783
1636616528608,-8,774
1636616529384,-8,788
1636616530172,-8,862
1636616531034,-8,862
1636616531896,-8,802
1636616532698,-8,783
1636616533483,-8,777
1636616534260,-8,774
1636616535034,-8,772
1636616535806,-8,777
1636616536583,-8,777
1636616537365,-8,751
1636616538116,-8,767
1636616538883,-8,803
1636616539686,-8,846
1636616540532,-8,875
1636616541410,-8,854
1636616542264,-8,833
1636616543097,-8,828
1636616543925,-8,842
1636616544767,-8,809
1636616546344,-8,766
1636616547110,-8,770
1636616547880,-8,767
1636616548647,-8,779
1636616549428,-8,772
1636616550200,-8,780
1636616550980,-8,781
1636616551761,-8,806
1636616552567,-8,833
1636616553404,-8,824
1636616554228,-8,784
1636616555012,-8,755
1636616555767,-8,764
1636616556531,-8,774
1636616558064,-8,765
1636616558829,-8,752
1636616559581,-8,744
1636616560325,-8,740
1636616561069,-8,759
1636616561828,-8,771
1636616562599,-8,742
1636616563341,-8,817
1636616564158,-8,785
1636616567212,-8,776
1636616567988,-8,777
1636616568765,-8,762
1636616569527,-8,758
1636616570285,-8,762
1636616571559,-8,751
1636616572310,-8,733
1636616573043,-8,725
1636616573769,-8,707
1636616574476,-8,710
1636616575186,-8,717
1636616575903,-8,727
1636616576630,-8,745
1636616577381,-8,775
1636616578156,-8,774
1636616578930,-8,777
1636616579707,-8,780
1636616580487,-8,737
1636616581236,-8,737
1636616581973,-8,768
1636616582741,-8,757
1636616583498,-8,744
1636616584312,-8,724
1636616585036,-8,720
1636616585756,-8,737
1636616586493,-8,763
1636616587256,-8,772
1636616588804,-8,820
1636616589624,-8,835
1636616590459,-8,842
1636616591301,-8,840
1636616593143,-8,829
1636616593972,-8,818
1636616594790,-8,809
1636616595599,-8,805
1636616596404,-8,821
1636616597819,-8,805
1636616598624,-8,806
1636616599430,-8,806
1636616600241,-8,803
1636616601044,-8,783
1636616601827,-8,763
1636616602590,-8,761
1636616603351,-8,769
1636616604123,-8,781
1636616604904,-8,809
1636616605713,-8,829
1636616606542,-8,883
1636616608548,-8,900
1636616609448,-8,865
1636616610313,-8,853
1636616611166,-8,833
1636616611999,-8,802
1636616612802,-8,802
1636616613604,-8,812
1636616614416,-8,824
1636616615240,-8,881
1636616616121,-8,949
1636616618069,-8,919
1636616619764,-8,879
1636616620643,-8,857
1636616621536,-8,836
1636616622372,-8,786
1636616623158,-8,725
1636616623883,-8,744
1636616624627,-8,796
1636616625429,-8,831
1636616626260,-8,864
1636616627124,-8,883
1636616628007,-8,928
1636616628935,-8,971
1636616630820,-8,873
1636616631693,-8,856
1636616632549,-8,881
1636616633430,-8,899
1636616634331,-8,933
1636616635264,-8,1053
1636616636317,-8,966
1636616637283,-8,896
1636616638179,-8,884
1636616640061,-8,919
1636616640980,-8,909
1636616641889,-8,897
1636616642786,-8,898
1636616643684,-8,896
1636616645311,-8,840
1636616646151,-8,834
1636616646985,-8,812
1636616647804,-8,804
1636616648608,-8,807
1636616649415,-8,809
1636616650224,-8,807
1636616651031,-8,803
1636616651836,-8,780
1636616652616,-8,747
1636616653363,-8,725
1636616654088,-8,701
1636616654789,-8,710
1636616656228,-8,737
1636616656965,-8,745
1636616657710,-8,754
1636616658464,-8,763
1636616659230,-8,774
1636616660004,-8,783
1636616660787,-8,787
1636616661574,-8,791
1636616662365,-8,790
1636616664158,-8,786
1636616664944,-8,782
1636616665726,-8,779
1636616666505,-8,778
1636616667283,-8,779
1636616668648,-8,813
1636616669500,-8,819
1636616670319,-8,862
1636616671181,-8,814
1636616671995,-8,801
1636616672797,-8,827
1636616673624,-8,845
1636616674469,-8,797
1636616675266,-8,815
1636616676081,-8,835
1636616676923,-8,841
1636616677764,-8,852
1636616678616,-8,838
1636616679454,-8,830
1636616680284,-8,820
1636616681832,-8,861
1636616682693,-8,842
1636616683535,-8,822
1636616684357,-8,805
1636616686160,-8,788
1636616686948,-8,759
1636616687707,-8,758
1636616688465,-8,786
1636616689251,-8,806
1636616690065,-8,819
1636616690884,-8,836
1636616691720,-8,841
1636616692561,-8,862
1636616693423,-8,887
1636616695005,-8,844
1636616695849,-8,832
1636616696681,-8,823
1636616697509,-8,839
1636616698348,-8,854
1636616699202,-8,869
1636616700071,-8,909
1636616702144,-8,896
1636616703040,-8,899
1636616703939,-8,919
